N,ph,sand,silt,cec,bulk density,clay,soc,fertility
201,7.6,72.65802,29.119495,28.243801,1.6275167,34.7651,0.2,0
251,7.5,72.33388,30.712788,29.173553,1.6275167,33.691277,0.39,0
195,7.9,72.49595,31.467505,29.080578,1.6275167,33.020134,0.88,0
257,8,73.79254,30.712788,29.359503,1.62349,32.550335,1.07,0
245,7.9,73.63047,30.628931,29.26653,1.62349,32.75168,0.68,0
245,7.8,72.98217,30.125788,28.801651,1.62349,33.691277,0.1,0
257,7.9,73.38736,30.041927,29.173553,1.62349,33.422817,0.78,0
264,7.6,72.98217,30.712788,29.731405,1.62349,33.221474,0.68,0
220,7.9,72.1718,30.209644,29.359503,1.62349,34.295303,0.1,0
245,7.8,72.57698,30.545073,29.26653,1.62349,33.691277,0.29,0
251,7.5,72.49595,30.96436,29.452478,1.62349,33.489933,1.07,0
257,7.9,72.09076,31.132076,29.080578,1.62349,33.691277,0.1,0
213,7.63,72.09076,30.628931,28.243801,1.6275167,34.09396,0.59,0
157,7.71,72.65802,29.790356,27.871902,1.62349,34.228188,0.2,0
207,7.72,71.92869,29.958073,28.70868,1.62349,34.630875,0.39,0
151,7.53,71.76661,29.371069,28.615702,1.62349,35.302013,1.17,0
201,7.82,71.60454,30.37736,28.336777,1.6194632,34.630875,0.78,0
220,7.52,72.25284,30.2935,28.987604,1.6194632,34.16107,0.1,0
207,7.44,72.49595,30.545073,29.173553,1.6154363,33.758392,0.88,0
151,7.42,72.73906,30.461216,29.26653,1.6194632,33.62416,0.29,0
163,7.34,72.57698,29.622643,29.173553,1.6154363,34.42953,0.39,0
69,7.42,73.06321,30.628931,29.26653,1.62349,33.15436,0.59,0
31,7.72,73.4684,30.628931,29.080578,1.6194632,32.885906,0.29,0
69,7.72,72.90114,30.2935,29.359503,1.62349,33.691277,0.59,0
107,7.53,72.8201,30.125788,29.080578,1.62349,33.8255,0.68,0
75,7.5,72.57698,30.628931,28.987604,1.6194632,33.62416,0.1,0
100,7.51,72.73906,30.2935,28.522726,1.6194632,33.758392,0.78,0
144,7.41,72.1718,30.041927,28.70868,1.62349,34.42953,0.68,0
151,8.12,72.73906,29.958073,29.452478,1.6194632,34.026844,0.49,0
144,7.43,73.06321,29.622643,31.126032,1.62349,34.026844,0.29,0
